date,location,state,latitude,longitude,rainfall_mm,source
2020-01-24,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-24,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-25,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-25,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-25,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-25,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-25,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-25,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-25,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-25,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-25,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-25,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-26,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-26,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-26,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-26,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-26,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-26,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-26,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-26,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
2020-01-26,Ibadan,Oyo,7.3775,3.947,0.0,CHIRPS-2.0
2020-01-26,Abuja,FCT,9.0765,7.4951,0.0,CHIRPS-2.0
2020-01-27,Lagos,Lagos,6.5244,3.3792,0.0,CHIRPS-2.0
2020-01-27,Port Harcourt,Rivers,4.8156,7.0498,0.0,CHIRPS-2.0
2020-01-27,Kano,Kano,12.0022,8.5919,0.0,CHIRPS-2.0
2020-01-27,Lokoja,Kogi,7.7989,6.7397,0.0,CHIRPS-2.0
2020-01-27,Makurdi,Benue,7.7336,8.5219,0.0,CHIRPS-2.0
2020-01-27,Warri,Delta,5.516,5.75,0.0,CHIRPS-2.0
2020-01-27,Bayelsa,Bayelsa,4.7719,6.0699,0.0,CHIRPS-2.0
2020-01-27,Adamawa,Adamawa,9.3265,12.3984,0.0,CHIRPS-2.0
